sent	item	cond	recode	plausible	model	measure	rating
Some lectures are too boring to be skipped.	18	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	14.208846092224121
Some tests are too useless to be canceled.	19	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	23.40316390991211
Some potential habitats are too nutrient-poor to be uninhabited.	20	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	11.683669090270996
Some artificial ingredients are too harmless to be used.	21	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	10.418667793273926
Some possible conversation topics are too unemotional to be left out.	22	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	29.745174407958984
Some anonymous tips are too vague to be neglected.	23	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	26.687891006469727
Some computer games are too harmless to be released.	24	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	16.36263656616211
Some physics theories are too implausible to be dismissed.	25	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	26.03326416015625
Some amateur plays are too unoriginal to be missed.	26	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	51.8424186706543
Some financial aid packages are too small to be cut.	27	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	10.89921760559082
Some social security payments are too unimportant to be missed.	28	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	10.277806282043457
Some wordings are too imprecise to be misunderstood.	29	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	33.06517791748047
Some pleas for clemency are too unreasonable to be rejected.	30	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	13.201624870300293
Some muscle spasms are too painless to be overlooked.	31	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	12.781923294067383
Some return on investments are too unprofitable to be disregarded.	32	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	12.073680877685547
Some head injuries are too severe to be ignored.	1	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	5.681300640106201
Some plans are too realistic to be rejected.	2	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	12.736133575439453
Some mistakes are too fatal to be overlooked.	3	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	12.954474449157715
Some TV shows are too successful to be discontinued.	4	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	5.881936073303223
Some applicants are too experienced to be rejected.	5	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	6.28635311126709
Some positions under siege are too important to be abandoned.	6	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	7.513199329376221
Some decisions are too clear to be postponed.	7	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	21.262548446655273
Some teenagers are too conformist to be marginalized.	8	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	30.93161392211914
Some heirlooms are too valuable to be thrown out.	9	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	7.955755233764648
Some objections are too essential to be ignored.	10	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	18.184274673461914
Some laws are too unambiguous to be misinterpreted.	11	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	20.12119483947754
Some details are too important to be left out.	12	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	2.881183385848999
Some problems are too significant to be concealed.	13	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	15.721144676208496
Some chapters are too essential to be skipped.	14	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	12.207274436950684
Some memories are too clear to be forgotten.	15	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	11.448352813720703
Some articles are too exceptional to go unpublished.	16	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	23.965112686157227
Some fees are too profitable to be waived.	17	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	14.195423126220703
Some lectures are too interesting to be skipped.	18	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	14.702383041381836
Some tests are too useful to be canceled.	19	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	18.667131423950195
Some potential habitats are too nutrient-rich to be uninhabited.	20	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	9.29049301147461
Some artificial ingredients are too harmful to be used.	21	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	8.354780197143555
Some possible conversation topics are too emotional to be left out.	22	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	8.340319633483887
Some anonymous tips are too important to be neglected.	23	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	18.171255111694336
Some computer games are too violent to be released.	24	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	6.793284893035889
Some physics theories are too plausible to be dismissed.	25	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	12.324220657348633
Some amateur plays are too original to be missed.	26	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	21.857797622680664
Some financial aid packages are too large to be cut.	27	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	10.527481079101562
Some social security payments are too important to be missed.	28	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	5.461968898773193
Some wordings are too precise to be misunderstood.	29	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	13.525809288024902
Some pleas for clemency are too reasonable to be rejected.	30	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	19.774654388427734
Some muscle spasms are too painful to be overlooked.	31	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	10.039563179016113
Some return on investments are too profitable to be disregarded.	32	posini-posadj	Some..too severe..ignored	plausible	bert-base-cased	ppl	12.558815956115723
No head injury is so trivial as to be treated.	1	so-impl-qpl	No..so..treated	implausible	bert-base-cased	ppl	12.374218940734863
