item	repeatability	subject	subject number	sent	model	measure	rating
2	nonrepeatable	np	control	More teenagers have installed Tiktok than adults have.	bert-base-cased	ppl	64.1680908203125
3	repeatable	pronoun	singular	More engineers have traveled to San Francisco than I have.	bert-base-cased	ppl	4.4123358726501465
3	repeatable	pronoun	plural	More engineers have traveled to San Francisco than we have.	bert-base-cased	ppl	4.1768879890441895
3	repeatable	pronoun	control	Many engineers have traveled to San Francisco more than I have.	bert-base-cased	ppl	5.831036567687988
3	nonrepeatable	pronoun	singular	More engineers have been laid off in San Francisco than I have.	bert-base-cased	ppl	3.1962296962738037
3	nonrepeatable	pronoun	plural	More engineers have been laid off in San Francisco than we have.	bert-base-cased	ppl	2.7586841583251953
3	nonrepeatable	pronoun	control	Many engineers have been laid off in San Francisco more than I have.	bert-base-cased	ppl	3.976794719696045
3	repeatable	np	singular	More engineers have traveled to San Francisco than the accountant has.	bert-base-cased	ppl	13.32084846496582
3	repeatable	np	plural	More engineers have traveled to San Francisco than the accountants have.	bert-base-cased	ppl	6.97702169418335
3	repeatable	np	control	More engineers have traveled to San Francisco than accountants have.	bert-base-cased	ppl	5.229431629180908
3	nonrepeatable	np	singular	More engineers have been laid off in San Francisco than the accountant has.	bert-base-cased	ppl	8.596126556396484
3	nonrepeatable	np	plural	More engineers have been laid off in San Francisco than the accountants have.	bert-base-cased	ppl	5.39386510848999
3	nonrepeatable	np	control	More engineers have been laid off in San Francisco than accountants have.	bert-base-cased	ppl	4.105254650115967
4	repeatable	pronoun	singular	More financial analysts have read the Harvard Business Review than I have.	bert-base-cased	ppl	1.4087001085281372
4	repeatable	pronoun	plural	More financial analysts have read the Harvard Business Review than we have.	bert-base-cased	ppl	1.6779648065567017
4	repeatable	pronoun	control	Many financial analysts have read the Harvard Business Review more than I have.	bert-base-cased	ppl	1.8852450847625732
4	nonrepeatable	pronoun	singular	More financial analysts have subscribed to the Harvard Business Review than I have.	bert-base-cased	ppl	3.6059601306915283
4	nonrepeatable	pronoun	plural	More financial analysts have subscribed to the Harvard Business Review than we have.	bert-base-cased	ppl	3.9590489864349365
4	nonrepeatable	pronoun	control	Many financial analysts have subscribed to the Harvard Business Review more than I have.	bert-base-cased	ppl	5.021765232086182
4	repeatable	np	singular	More financial analysts have read the Harvard Business Review than the student has.	bert-base-cased	ppl	5.727564811706543
4	repeatable	np	plural	More financial analysts have read the Harvard Business Review than the students have.	bert-base-cased	ppl	2.5451722145080566
4	repeatable	np	control	More financial analysts have read the Harvard Business Review than students have.	bert-base-cased	ppl	2.104116678237915
4	nonrepeatable	np	singular	More financial analysts have subscribed to the Harvard Business Review than the student has.	bert-base-cased	ppl	11.136031150817871
4	nonrepeatable	np	plural	More financial analysts have subscribed to the Harvard Business Review than the students have.	bert-base-cased	ppl	5.3668694496154785
4	nonrepeatable	np	control	More financial analysts have subscribed to the Harvard Business Review than students have.	bert-base-cased	ppl	4.270317554473877
5	repeatable	pronoun	singular	More lawyers have vacationed in Florida than I have.	bert-base-cased	ppl	8.732749938964844
5	repeatable	pronoun	plural	More lawyers have vacationed in Florida than we have.	bert-base-cased	ppl	9.636231422424316
5	repeatable	pronoun	control	Many lawyers have vacationed in Florida more than I have.	bert-base-cased	ppl	13.731134414672852
5	nonrepeatable	pronoun	singular	More lawyers have retired to Florida than I have.	bert-base-cased	ppl	7.12705135345459
5	nonrepeatable	pronoun	plural	More lawyers have retired to Florida than we have.	bert-base-cased	ppl	8.021768569946289
5	nonrepeatable	pronoun	control	Many lawyers have retired to Florida more than I have.	bert-base-cased	ppl	15.963667869567871
5	repeatable	np	singular	More lawyers have vacationed in Florida than the clerk has.	bert-base-cased	ppl	19.771373748779297
5	repeatable	np	plural	More lawyers have vacationed in Florida than the clerks have.	bert-base-cased	ppl	10.856112480163574
5	repeatable	np	control	More lawyers have vacationed in Florida than clerks have.	bert-base-cased	ppl	16.12959861755371
5	nonrepeatable	np	singular	More lawyers have retired to Florida than the clerk has.	bert-base-cased	ppl	16.882280349731445
5	nonrepeatable	np	plural	More lawyers have retired to Florida than the clerks have.	bert-base-cased	ppl	10.686758995056152
5	nonrepeatable	np	control	More lawyers have retired to Florida than clerks have.	bert-base-cased	ppl	13.958575248718262
6	repeatable	pronoun	singular	More economists have talked about the recession in 2022 than I have.	bert-base-cased	ppl	10.152109146118164
6	repeatable	pronoun	plural	More economists have talked about the recession in 2022 than we have.	bert-base-cased	ppl	8.042975425720215
6	repeatable	pronoun	control	Many economists have talked about the recession in 2022 more than I have.	bert-base-cased	ppl	10.850813865661621
6	nonrepeatable	pronoun	singular	More economists have predicted the recession in 2022 than I have.	bert-base-cased	ppl	12.049283027648926
6	nonrepeatable	pronoun	plural	More economists have predicted the recession in 2022 than we have.	bert-base-cased	ppl	9.321893692016602
6	nonrepeatable	pronoun	control	Many economists have predicted the recession in 2022 more than I have.	bert-base-cased	ppl	14.593191146850586
6	repeatable	np	singular	More economists have talked about the recession in 2022 than the politician has.	bert-base-cased	ppl	16.254465103149414
6	repeatable	np	plural	More economists have talked about the recession in 2022 than the politians have.	bert-base-cased	ppl	20.340898513793945
6	repeatable	np	control	More economists have talked about the recession in 2022 than politians have.	bert-base-cased	ppl	22.697586059570312
6	nonrepeatable	np	singular	More economists have predicted the recession in 2022 than the politician has.	bert-base-cased	ppl	19.891178131103516
6	nonrepeatable	np	plural	More economists have predicted the recession in 2022 than the politians have.	bert-base-cased	ppl	25.26032066345215
6	nonrepeatable	np	control	More economists have predicted the recession in 2022 than politians have.	bert-base-cased	ppl	27.32862091064453
7	repeatable	pronoun	singular	More diplomats have visited Washington DC than I have.	bert-base-cased	ppl	8.54002571105957
7	repeatable	pronoun	plural	More diplomats have visited Washington DC than we have.	bert-base-cased	ppl	8.430512428283691
7	repeatable	pronoun	control	Many diplomats have visited Washington DC more than I have.	bert-base-cased	ppl	8.613212585449219
7	nonrepeatable	pronoun	singular	More diplomats have arrived in Washington DC than I have.	bert-base-cased	ppl	7.780622482299805
7	nonrepeatable	pronoun	plural	More diplomats have arrived in Washington DC than we have.	bert-base-cased	ppl	6.912349700927734
7	nonrepeatable	pronoun	control	Many diplomats have arrived in Washington DC more than I have.	bert-base-cased	ppl	14.160959243774414
7	repeatable	np	singular	More diplomats have visited Washington DC than the governor has.	bert-base-cased	ppl	7.6944990158081055
7	repeatable	np	plural	More diplomats have visited Washington DC than the governors have.	bert-base-cased	ppl	9.428634643554688
7	repeatable	np	control	More diplomats have visited Washington DC than governors have.	bert-base-cased	ppl	9.103128433227539
7	nonrepeatable	np	singular	More diplomats have arrived in Washington DC than the governor has.	bert-base-cased	ppl	7.783314228057861
7	nonrepeatable	np	plural	More diplomats have arrived in Washington DC than the governors have.	bert-base-cased	ppl	9.15113639831543
7	nonrepeatable	np	control	More diplomats have arrived in Washington DC than governors have.	bert-base-cased	ppl	10.175681114196777
8	repeatable	pronoun	singular	More employees have supported the union than I have.	bert-base-cased	ppl	12.486417770385742
8	repeatable	pronoun	plural	More employees have supported the union than we have.	bert-base-cased	ppl	11.210851669311523
8	repeatable	pronoun	control	Many employees have supported the union more than I have.	bert-base-cased	ppl	10.064939498901367
8	nonrepeatable	pronoun	singular	More employees have joined the union than I have.	bert-base-cased	ppl	5.083770275115967
8	nonrepeatable	pronoun	plural	More employees have joined the union than we have.	bert-base-cased	ppl	4.845658779144287
8	nonrepeatable	pronoun	control	Many employees have joined the union more than I have.	bert-base-cased	ppl	7.496702671051025
8	repeatable	np	singular	More employees have supported the union than the manager has.	bert-base-cased	ppl	6.567168235778809
8	repeatable	np	plural	More employees have supported the union than the managers have.	bert-base-cased	ppl	6.478269100189209
8	repeatable	np	control	More employees have supported the union than managers have.	bert-base-cased	ppl	6.656706809997559
8	nonrepeatable	np	singular	More employees have joined the union than the manager has.	bert-base-cased	ppl	4.653331756591797
8	nonrepeatable	np	plural	More employees have joined the union than the managers have.	bert-base-cased	ppl	4.0876688957214355
8	nonrepeatable	np	control	More employees have joined the union than managers have.	bert-base-cased	ppl	3.692594289779663
9	repeatable	pronoun	singular	More customers have thought about Black Friday shopping season in 2022 than I have.	bert-base-cased	ppl	36.852474212646484
9	repeatable	pronoun	plural	More customers have thought about Black Friday shopping season in 2022 than we have.	bert-base-cased	ppl	29.50627326965332
9	repeatable	pronoun	control	Many customers have thought about Black Friday shopping season in 2022 more than I have.	bert-base-cased	ppl	36.66288757324219
9	nonrepeatable	pronoun	singular	More customers have forgot Black Friday shopping season in 2022 than I have.	bert-base-cased	ppl	70.85787200927734
9	nonrepeatable	pronoun	plural	More customers have forgot Black Friday shopping season in 2022 than we have.	bert-base-cased	ppl	54.90869140625
9	nonrepeatable	pronoun	control	Many customers have forgot Black Friday shopping season in 2022 more than I have.	bert-base-cased	ppl	76.37020874023438
9	repeatable	np	singular	More customers have thought about Black Friday shopping season in 2022 than the store has.	bert-base-cased	ppl	22.206863403320312
9	repeatable	np	plural	More customers have thought about Black Friday shopping season in 2022 than the stores have.	bert-base-cased	ppl	28.947153091430664
9	repeatable	np	control	More customers have thought about Black Friday shopping season in 2022 than stores have.	bert-base-cased	ppl	35.43231964111328
9	nonrepeatable	np	singular	More customers have forgot Black Friday shopping season in 2022 than the store has.	bert-base-cased	ppl	35.39607238769531
9	nonrepeatable	np	plural	More customers have forgot Black Friday shopping season in 2022 than the stores have.	bert-base-cased	ppl	47.472755432128906
9	nonrepeatable	np	control	More customers have forgot Black Friday shopping season in 2022 than stores have.	bert-base-cased	ppl	55.1959114074707
10	repeatable	pronoun	singular	More Democrats have criticized Fox News than I have.	bert-base-cased	ppl	7.499190807342529
10	repeatable	pronoun	plural	More Democrats have criticized Fox News than we have.	bert-base-cased	ppl	5.814447402954102
10	repeatable	pronoun	control	Many Democrats have criticized Fox News more than I have.	bert-base-cased	ppl	7.402703285217285
10	nonrepeatable	pronoun	singular	More Democrats have unsubscribed from Fox News than I have.	bert-base-cased	ppl	21.907419204711914
10	nonrepeatable	pronoun	plural	More Democrats have unsubscribed from Fox News than we have.	bert-base-cased	ppl	21.136186599731445
10	nonrepeatable	pronoun	control	Many Democrats have unsubscribed from Fox News more than I have.	bert-base-cased	ppl	24.352251052856445
10	repeatable	np	singular	More Democrats have criticized Fox News than the Republican has.	bert-base-cased	ppl	9.865094184875488
10	repeatable	np	plural	More Democrats have criticized Fox News than the Republicans have.	bert-base-cased	ppl	2.432692289352417
10	repeatable	np	control	More Democrats have criticized Fox News than Republicans have.	bert-base-cased	ppl	1.6358562707901
10	nonrepeatable	np	singular	More Democrats have unsubscribed from Fox News than the Republican has.	bert-base-cased	ppl	29.331125259399414
10	nonrepeatable	np	plural	More Democrats have unsubscribed from Fox News than the Republicans have.	bert-base-cased	ppl	11.801807403564453
10	nonrepeatable	np	control	More Democrats have unsubscribed from Fox News than Republicans have.	bert-base-cased	ppl	9.220120429992676
11	repeatable	pronoun	singular	More middle school students have enjoyed the Harry Potter series than I have.	bert-base-cased	ppl	2.243551015853882
11	repeatable	pronoun	plural	More middle school students have enjoyed the Harry Potter series than we have.	bert-base-cased	ppl	2.2499444484710693
11	repeatable	pronoun	control	Many middle school students have enjoyed the Harry Potter series more than I have.	bert-base-cased	ppl	2.2853662967681885
11	nonrepeatable	pronoun	singular	More middle school students have started the Harry Potter series than I have.	bert-base-cased	ppl	3.012989044189453
11	nonrepeatable	pronoun	plural	More middle school students have started the Harry Potter series than we have.	bert-base-cased	ppl	2.963099479675293
11	nonrepeatable	pronoun	control	Many middle school students have started the Harry Potter series more than I have.	bert-base-cased	ppl	5.759947299957275
11	repeatable	np	singular	More middle school students have enjoyed the Harry Potter series than the high school student has.	bert-base-cased	ppl	3.4153831005096436
11	repeatable	np	plural	More middle school students have enjoyed the Harry Potter series than the high school students have.	bert-base-cased	ppl	1.8914604187011719
11	repeatable	np	control	More middle school students have enjoyed the Harry Potter series than high school students have.	bert-base-cased	ppl	1.3656549453735352
11	nonrepeatable	np	singular	More middle school students have started the Harry Potter series than the high school student has.	bert-base-cased	ppl	4.91502571105957
11	nonrepeatable	np	plural	More middle school students have started the Harry Potter series than the high school students have.	bert-base-cased	ppl	2.513866424560547
11	nonrepeatable	np	control	More middle school students have started the Harry Potter series than high school students have.	bert-base-cased	ppl	1.8521523475646973
12	repeatable	pronoun	singular	More residents of Massachusetts have gone skiing than I have.	bert-base-cased	ppl	5.645737648010254
12	repeatable	pronoun	plural	More residents of Massachusetts have gone skiing than we have.	bert-base-cased	ppl	6.444754123687744
12	repeatable	pronoun	control	Many residents of Massachusetts have gone skiing more than I have.	bert-base-cased	ppl	10.871313095092773
12	nonrepeatable	pronoun	singular	More residents of Massachusetts have stopped skiing than I have.	bert-base-cased	ppl	8.778722763061523
12	nonrepeatable	pronoun	plural	More residents of Massachusetts have stopped skiing than we have.	bert-base-cased	ppl	8.182690620422363
12	nonrepeatable	pronoun	control	Many residents of Massachusetts have stopped skiing more than I have.	bert-base-cased	ppl	13.05198860168457
12	repeatable	np	singular	More residents of Massachusetts have gone skiing than the resident of Maine has.	bert-base-cased	ppl	8.5148344039917
12	repeatable	np	plural	More residents of Massachusetts have gone skiing than the residents of Maine have.	bert-base-cased	ppl	3.621931791305542
12	repeatable	np	control	More residents of Massachusetts have gone skiing than residents of Maine have.	bert-base-cased	ppl	3.1295113563537598
12	nonrepeatable	np	singular	More residents of Massachusetts have stopped skiing than the resident of Maine has.	bert-base-cased	ppl	9.3770112991333
12	nonrepeatable	np	plural	More residents of Massachusetts have stopped skiing than the residents of Maine have.	bert-base-cased	ppl	4.094814777374268
12	nonrepeatable	np	control	More residents of Massachusetts have stopped skiing than residents of Maine have.	bert-base-cased	ppl	3.5006728172302246
13	repeatable	pronoun	singular	More doctors have hoped for the end of the COVID pandemic than I have.	bert-base-cased	ppl	18.722463607788086
13	repeatable	pronoun	plural	More doctors have hoped for the end of the COVID pandemic than we have.	bert-base-cased	ppl	18.016990661621094
13	repeatable	pronoun	control	Many doctors have hoped for the end of the COVID pandemic more than I have.	bert-base-cased	ppl	19.445056915283203
13	nonrepeatable	pronoun	singular	More doctors have forecast the end of the COVID pandemic than I have.	bert-base-cased	ppl	26.590808868408203
13	nonrepeatable	pronoun	plural	More doctors have forecast the end of the COVID pandemic than we have.	bert-base-cased	ppl	25.63092041015625
13	nonrepeatable	pronoun	control	Many doctors have forecast the end of the COVID pandemic more than I have.	bert-base-cased	ppl	35.15592575073242
13	repeatable	np	singular	More doctors have hoped for the end of the COVID pandemic than the parent has.	bert-base-cased	ppl	33.25387191772461
13	repeatable	np	plural	More doctors have hoped for the end of the COVID pandemic than the parents have.	bert-base-cased	ppl	23.24625015258789
13	repeatable	np	control	More doctors have hoped for the end of the COVID pandemic than parents have.	bert-base-cased	ppl	25.265422821044922
13	nonrepeatable	np	singular	More doctors have forecast the end of the COVID pandemic than the parent has.	bert-base-cased	ppl	48.465396881103516
13	nonrepeatable	np	plural	More doctors have forecast the end of the COVID pandemic than the parents have.	bert-base-cased	ppl	26.85700035095215
13	nonrepeatable	np	control	More doctors have forecast the end of the COVID pandemic than parents have.	bert-base-cased	ppl	30.666627883911133
14	repeatable	pronoun	singular	More Americans have enjoyed high school than I have.	bert-base-cased	ppl	5.693615436553955
14	repeatable	pronoun	plural	More Americans have enjoyed high school than we have.	bert-base-cased	ppl	5.809174537658691
14	repeatable	pronoun	control	Many Americans have enjoyed high school more than I have.	bert-base-cased	ppl	4.415077209472656
14	nonrepeatable	pronoun	singular	More Americans have finished high school than I have.	bert-base-cased	ppl	2.972738265991211
14	nonrepeatable	pronoun	plural	More Americans have finished high school than we have.	bert-base-cased	ppl	2.7383382320404053
14	nonrepeatable	pronoun	control	Many Americans have finished high school more than I have.	bert-base-cased	ppl	5.5632853507995605
14	repeatable	np	singular	More Americans have enjoyed high school than the Canadian has.	bert-base-cased	ppl	19.850374221801758
14	repeatable	np	plural	More Americans have enjoyed high school than the Canadians have.	bert-base-cased	ppl	9.701549530029297
14	repeatable	np	control	More Americans have enjoyed high school than Canadians have.	bert-base-cased	ppl	5.658359527587891
14	nonrepeatable	np	singular	More Americans have finished high school than the Canadian has.	bert-base-cased	ppl	6.264293193817139
14	nonrepeatable	np	plural	More Americans have finished high school than the Canadians have.	bert-base-cased	ppl	3.2654268741607666
14	nonrepeatable	np	control	More Americans have finished high school than Canadians have.	bert-base-cased	ppl	1.9489195346832275
15	repeatable	pronoun	singular	More adults have studied for their driver's license exam than I have.	bert-base-cased	ppl	3.1687073707580566
15	repeatable	pronoun	plural	More adults have studied for their driver's license exam than we have.	bert-base-cased	ppl	3.487398386001587
15	repeatable	pronoun	control	Many adults have studied for their driver's license exam more than I have.	bert-base-cased	ppl	4.789348602294922
15	nonrepeatable	pronoun	singular	More adults have passed their driver's license exam than I have.	bert-base-cased	ppl	2.360414743423462
15	nonrepeatable	pronoun	plural	More adults have passed their driver's license exam than we have.	bert-base-cased	ppl	2.6121773719787598
15	nonrepeatable	pronoun	control	Many adults have passed their driver's license exam more than I have.	bert-base-cased	ppl	3.6691200733184814
15	repeatable	np	singular	More adults have studied for their driver's license exam than the senior citizen has.	bert-base-cased	ppl	5.9791693687438965
15	repeatable	np	plural	More adults have studied for their driver's license exam than the senior citizens have.	bert-base-cased	ppl	4.169828414916992
15	repeatable	np	control	More adults have studied for their driver's license exam than senior citizens have.	bert-base-cased	ppl	2.816157817840576
15	nonrepeatable	np	singular	More adults have passed their driver's license exam than the senior citizen has.	bert-base-cased	ppl	4.877564430236816
15	nonrepeatable	np	plural	More adults have passed their driver's license exam than the senior citizens have.	bert-base-cased	ppl	3.512606143951416
15	nonrepeatable	np	control	More adults have passed their driver's license exam than senior citizens have.	bert-base-cased	ppl	2.219926595687866
16	repeatable	pronoun	singular	More inner-city residents have complained about the public transportation system than I have.	bert-base-cased	ppl	2.1490819454193115
16	repeatable	pronoun	plural	More inner-city residents have complained about the public transportation system than we have.	bert-base-cased	ppl	1.9741915464401245
16	repeatable	pronoun	control	Many inner-city residents have complained about the public transportation system more than I have.	bert-base-cased	ppl	2.2757716178894043
16	nonrepeatable	pronoun	singular	More inner-city residents have given up on the public transportation system than I have.	bert-base-cased	ppl	1.9240080118179321
16	nonrepeatable	pronoun	plural	More inner-city residents have given up on the public transportation system than we have.	bert-base-cased	ppl	1.6856815814971924
16	nonrepeatable	pronoun	control	Many inner-city residents have given up on the public transportation system more than I have.	bert-base-cased	ppl	2.0267186164855957
16	repeatable	np	singular	More inner-city residents have complained about the public transportation system than the suburban resident has.	bert-base-cased	ppl	7.406062126159668
16	repeatable	np	plural	More inner-city residents have complained about the public transportation system than the suburban residents have.	bert-base-cased	ppl	2.691735029220581
16	repeatable	np	control	More inner-city residents have complained about the public transportation system than suburban residents have.	bert-base-cased	ppl	1.8751533031463623
16	nonrepeatable	np	singular	More inner-city residents have given up on the public transportation system than the suburban resident has.	bert-base-cased	ppl	4.973686218261719
16	nonrepeatable	np	plural	More inner-city residents have given up on the public transportation system than the suburban residents have.	bert-base-cased	ppl	2.143902540206909
16	nonrepeatable	np	control	More inner-city residents have given up on the public transportation system than suburban residents have.	bert-base-cased	ppl	1.571939468383789
17	repeatable	pronoun	singular	More Brazil fans have followed the 2022 World Cup than I have.	bert-base-cased	ppl	14.1476469039917
17	repeatable	pronoun	plural	More Brazil fans have followed the 2022 World Cup than we have.	bert-base-cased	ppl	10.630725860595703
17	repeatable	pronoun	control	Many Brazil fans have followed the 2022 World Cup more than I have.	bert-base-cased	ppl	14.128767967224121
17	nonrepeatable	pronoun	singular	More Brazil fans have stopped watching the 2022 World Cup than I have.	bert-base-cased	ppl	11.912079811096191
17	nonrepeatable	pronoun	plural	More Brazil fans have stopped watching the 2022 World Cup than we have.	bert-base-cased	ppl	10.422834396362305
17	nonrepeatable	pronoun	control	Many Brazil fans have stopped watching the 2022 World Cup more than I have.	bert-base-cased	ppl	12.843280792236328
17	repeatable	np	singular	More Brazil fans have followed the 2022 World Cup than the Croatia fan has.	bert-base-cased	ppl	14.911661148071289
17	repeatable	np	plural	More Brazil fans have followed the 2022 World Cup than the Croatia fans have.	bert-base-cased	ppl	9.619501113891602
17	repeatable	np	control	More Brazil fans have followed the 2022 World Cup than Croatia fans have.	bert-base-cased	ppl	9.557329177856445
17	nonrepeatable	np	singular	More Brazil fans have stopped watching the 2022 World Cup than the Croatia fan has.	bert-base-cased	ppl	13.143369674682617
17	nonrepeatable	np	plural	More Brazil fans have stopped watching the 2022 World Cup than the Croatia fans have.	bert-base-cased	ppl	10.338066101074219
17	nonrepeatable	np	control	More Brazil fans have stopped watching the 2022 World Cup than Croatia fans have.	bert-base-cased	ppl	10.131322860717773
18	repeatable	pronoun	singular	More California residents have used UPS service than I have.	bert-base-cased	ppl	19.224185943603516
18	repeatable	pronoun	plural	More California residents have used UPS service than we have.	bert-base-cased	ppl	15.963855743408203
18	repeatable	pronoun	control	Many California residents have used UPS service more than I have.	bert-base-cased	ppl	19.305797576904297
18	nonrepeatable	pronoun	singular	More California residents have terminated UPS service than I have.	bert-base-cased	ppl	29.767173767089844
18	nonrepeatable	pronoun	plural	More California residents have terminated UPS service than we have.	bert-base-cased	ppl	24.670717239379883
18	nonrepeatable	pronoun	control	Many California residents have terminated UPS service more than I have.	bert-base-cased	ppl	41.087120056152344
18	repeatable	np	singular	More California residents have used UPS service than the New York resident has.	bert-base-cased	ppl	14.605443000793457
18	repeatable	np	plural	More California residents have used UPS service than the New York residents have.	bert-base-cased	ppl	7.353757381439209
18	repeatable	np	control	More California residents have used UPS service than New York residents have.	bert-base-cased	ppl	5.249344348907471
18	nonrepeatable	np	singular	More California residents have terminated UPS service than the New York resident has.	bert-base-cased	ppl	18.097400665283203
18	nonrepeatable	np	plural	More California residents have terminated UPS service than the New York residents have.	bert-base-cased	ppl	9.834465026855469
18	nonrepeatable	np	control	More California residents have terminated UPS service than New York residents have.	bert-base-cased	ppl	7.11213493347168
19	repeatable	pronoun	singular	More Americans have toured Antelope Canyon than I have.	bert-base-cased	ppl	28.01752471923828
19	repeatable	pronoun	plural	More Americans have toured Antelope Canyon than we have.	bert-base-cased	ppl	24.936206817626953
19	repeatable	pronoun	control	Many Americans have toured Antelope Canyon more than I have.	bert-base-cased	ppl	30.709016799926758
19	nonrepeatable	pronoun	singular	More Americans have reached Antelope Canyon than I have.	bert-base-cased	ppl	27.282493591308594
19	nonrepeatable	pronoun	plural	More Americans have reached Antelope Canyon than we have.	bert-base-cased	ppl	22.11601448059082
19	nonrepeatable	pronoun	control	Many Americans have reached Antelope Canyon more than I have.	bert-base-cased	ppl	57.84838104248047
19	repeatable	np	singular	More Americans have toured Antelope Canyon than the Canadian has.	bert-base-cased	ppl	53.52173614501953
19	repeatable	np	plural	More Americans have toured Antelope Canyon than the Canadians have.	bert-base-cased	ppl	23.318485260009766
19	repeatable	np	control	More Americans have toured Antelope Canyon than Canadians have.	bert-base-cased	ppl	17.81549072265625
19	nonrepeatable	np	singular	More Americans have reached Antelope Canyon than the Canadian has.	bert-base-cased	ppl	44.35651397705078
19	nonrepeatable	np	plural	More Americans have reached Antelope Canyon than the Canadians have.	bert-base-cased	ppl	23.275842666625977
19	nonrepeatable	np	control	More Americans have reached Antelope Canyon than Canadians have.	bert-base-cased	ppl	19.947587966918945
20	repeatable	pronoun	singular	More lawyers have criticized Facebook than I have.	bert-base-cased	ppl	42.35081481933594
20	repeatable	pronoun	plural	More lawyers have criticized Facebook than we have.	bert-base-cased	ppl	30.836009979248047
20	repeatable	pronoun	control	Many lawyers have criticized Facebook more than I have.	bert-base-cased	ppl	43.73310852050781
20	nonrepeatable	pronoun	singular	More lawyers have lost trust in Facebook than I have.	bert-base-cased	ppl	19.62566566467285
20	nonrepeatable	pronoun	plural	More lawyers have lost trust in Facebook than we have.	bert-base-cased	ppl	17.005783081054688
20	nonrepeatable	pronoun	control	Many lawyers have lost trust in Facebook more than I have.	bert-base-cased	ppl	24.514320373535156
20	repeatable	np	singular	More lawyers have criticized Facebook than the journalist has.	bert-base-cased	ppl	39.95589065551758
20	repeatable	np	plural	More lawyers have criticized Facebook than the journalists have.	bert-base-cased	ppl	20.98925018310547
20	repeatable	np	control	More lawyers have criticized Facebook than journalists have.	bert-base-cased	ppl	13.702281951904297
20	nonrepeatable	np	singular	More lawyers have lost trust in Facebook than the journalist has.	bert-base-cased	ppl	27.818830490112305
20	nonrepeatable	np	plural	More lawyers have lost trust in Facebook than the journalists have.	bert-base-cased	ppl	17.298076629638672
20	nonrepeatable	np	control	More lawyers have lost trust in Facebook than journalists have.	bert-base-cased	ppl	15.898788452148438
21	repeatable	pronoun	singular	More novelists have loved alcohol than I have.	bert-base-cased	ppl	36.060035705566406
21	repeatable	pronoun	plural	More novelists have loved alcohol than we have.	bert-base-cased	ppl	44.30511474609375
21	repeatable	pronoun	control	Many novelists have loved alcohol more than I have.	bert-base-cased	ppl	29.05338478088379
21	nonrepeatable	pronoun	singular	More novelists have quit alcohol than I have.	bert-base-cased	ppl	39.157283782958984
21	nonrepeatable	pronoun	plural	More novelists have quit alcohol than we have.	bert-base-cased	ppl	41.71843719482422
21	nonrepeatable	pronoun	control	Many novelists have quit alcohol more than I have.	bert-base-cased	ppl	44.64007568359375
21	repeatable	np	singular	More novelists have loved alcohol than the movie star has.	bert-base-cased	ppl	51.80149841308594
