expNum	itemNum	condition	sent	model	measure	rating
6	3	Embedded No	The artist who remembered no curator well enough to recognize will ever make a bronze sculpture.	bert-base-cased	ppl	44.29362106323242
6	3	Embedded Not a Single	The artist who remembered not a single curator well enough to recognize will ever make a bronze sculpture.	bert-base-cased	ppl	34.88233947753906
6	3	Licensor Absent	The artist who the curator remembered well enough to recognize will ever make a bronze sculpture.	bert-base-cased	ppl	19.456249237060547
6	3	Matrix No	No artist who the curator remembered well enough to recognize will ever make a bronze sculpture.	bert-base-cased	ppl	10.504571914672852
6	3	Relative Subject No	The artist who no curator remembered well enough to recognize will ever make a bronze sculpture.	bert-base-cased	ppl	32.035133361816406
6	3	Relative Subject Not A Single	The artist who not a single curator remembered well enough to recognize will ever make a bronze sculpture.	bert-base-cased	ppl	20.395084381103516
1	4	Licensor Absent	The professor who the dean remembered from the conference will ever win a teaching award.	bert-base-cased	ppl	26.23649024963379
1	4	Matrix No	No professor who the dean remembered from the conference will ever win a teaching award.	bert-base-cased	ppl	13.295571327209473
1	4	Relative Didn't	The professor who didn't remember the dean from the conference will ever win a teaching award.	bert-base-cased	ppl	13.794215202331543
1	4	Relative No	The professor who no dean remembered from the conference will ever win a teaching award.	bert-base-cased	ppl	64.36697387695312
2	4	Relative Did Not	The professor who did not remember the dean from the conference will ever win a teaching award.	bert-base-cased	ppl	20.895761489868164
3	4	Relative Never	The professor who never remembered the dean from the conference will ever win a teaching award.	bert-base-cased	ppl	29.643945693969727
6	4	Embedded No	The professor who remembered no dean fondly as a mentor will ever win a teaching award.	bert-base-cased	ppl	35.35224914550781
6	4	Embedded Not a Single	The professor who remembered not a single dean fondly as a mentor will ever win a teaching award.	bert-base-cased	ppl	22.597618103027344
6	4	Licensor Absent	The professor who the dean remembered fondly as a mentor will ever win a teaching award.	bert-base-cased	ppl	12.47382640838623
6	4	Matrix No	No professor who the dean remembered fondly as a mentor will ever win a teaching award.	bert-base-cased	ppl	8.257265090942383
6	4	Relative Subject No	The professor who no dean remembered fondly as a mentor will ever win a teaching award.	bert-base-cased	ppl	30.71290397644043
6	4	Relative Subject Not A Single	The professor who not a single dean remembered fondly as a mentor will ever win a teaching award.	bert-base-cased	ppl	20.12567901611328
1	5	Licensor Absent	The soldier who the general invited to the task force will ever earn a combat medal.	bert-base-cased	ppl	15.298362731933594
1	5	Matrix No	No soldier who the general invited to the task force will ever earn a combat medal.	bert-base-cased	ppl	9.81489372253418
1	5	Relative Didn't	The soldier who didn't invite the general to the task force will ever earn a combat medal.	bert-base-cased	ppl	7.9895806312561035
1	5	Relative No	The soldier who no general invited to the task force will ever earn a combat medal.	bert-base-cased	ppl	27.77374839782715
2	5	Relative Did Not	The soldier who did not invite the general to task force will ever earn a combat medal.	bert-base-cased	ppl	25.320154190063477
3	5	Relative Never	The soldier who never invited the general to the task force will ever earn a combat medal.	bert-base-cased	ppl	13.202539443969727
6	5	Embedded No	The soldier who invited no general to curry favor will ever earn a combat medal.	bert-base-cased	ppl	35.57193374633789
6	5	Embedded Not a Single	The soldier who invited not a single general to curry favor will ever earn a combat medal.	bert-base-cased	ppl	19.399023056030273
6	5	Licensor Absent	The soldier who the general invited to curry favor will ever earn a combat medal.	bert-base-cased	ppl	25.650123596191406
6	5	Matrix No	No soldier who the general invited to curry favor will ever earn a combat medal.	bert-base-cased	ppl	14.013591766357422
6	5	Relative Subject No	The soldier who no general invited to curry favor will ever earn a combat medal.	bert-base-cased	ppl	42.497161865234375
6	5	Relative Subject Not A Single	The soldier who not a single general invited to curry favor will ever earn a combat medal.	bert-base-cased	ppl	36.079708099365234
1	6	Licensor Absent	The reporter who the candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	36.1218376159668
1	6	Matrix No	No reporter who the candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	29.654186248779297
1	6	Relative Didn't	The reporter who didn't invite the candidate to the press pool will ever break a major story.	bert-base-cased	ppl	15.08841609954834
1	6	Relative No	The reporter who no candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	41.65933609008789
2	6	Relative Did Not	The reporter who did not invite the candidate to the press pool will ever break a major story.	bert-base-cased	ppl	15.91218090057373
3	6	Relative Never	The reporter who never invited the candidate to the press pool will ever break a major story.	bert-base-cased	ppl	23.5091495513916
6	6	Embedded No	The reporter who invited no candidate to the press pool will ever break a major story.	bert-base-cased	ppl	25.568679809570312
6	6	Embedded Not a Single	The report who invited not a single candidate to the press pool will ever break a major story.	bert-base-cased	ppl	42.43266677856445
6	6	Licensor Absent	The reporter who the candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	36.1218376159668
6	6	Matrix No	No reporter who the candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	29.654186248779297
6	6	Relative Subject No	The reporter who no candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	41.65933609008789
6	6	Relative Subject Not A Single	The reporter who not a single candidate invited to the press pool will ever break a major story.	bert-base-cased	ppl	37.57737731933594
1	7	Licensor Absent	The pirate who the admiral recognized from the new poster will ever be arrested for stealing a ship.	bert-base-cased	ppl	25.337181091308594
1	7	Matrix No	No pirate who the admiral recognized from the new poster will ever be arrested for stealing a ship.	bert-base-cased	ppl	12.263167381286621
1	7	Relative Didn't	The pirate who didn't recognize the admiral from the new poster will ever be arrested for stealing a ship.	bert-base-cased	ppl	15.198020935058594
1	7	Relative No	The pirate who no admiral recognized from the new poster will ever be arrested for stealing a ship.	bert-base-cased	ppl	41.19263458251953
2	7	Relative Did Not	The pirate who did not recognize the admiral from the new poster will ever be arrested for stealing a ship.	bert-base-cased	ppl	17.836347579956055
3	7	Relative Never	The pirate who never recognized the admiral from the new poster will ever be arrested for stealing a ship.	bert-base-cased	ppl	24.632339477539062
6	7	Embedded No	The pirate who suspected no admiral of trickery will ever be arrested for stealing a ship.	bert-base-cased	ppl	43.764530181884766
6	7	Embedded Not a Single	The pirate who suspected not a single admiral of trickery will ever be arrested for stealing a ship.	bert-base-cased	ppl	32.2877197265625
6	7	Licensor Absent	The pirate who the admiral suspected of trickery will ever be arrested for stealing a ship.	bert-base-cased	ppl	17.612384796142578
6	7	Matrix No	No pirate who the admiral suspected of trickery will ever be arrested for stealing a ship.	bert-base-cased	ppl	8.79516315460205
6	7	Relative Subject No	The pirate who no admiral suspected of trickery will ever be arrested for stealing a ship.	bert-base-cased	ppl	31.261266708374023
6	7	Relative Subject Not A Single	The pirate who not a single admiral suspected of trickery will ever be arrested for stealing a ship.	bert-base-cased	ppl	26.01541519165039
1	8	Licensor Absent	The thief who the detective recognized from the news report will ever be caught red handed.	bert-base-cased	ppl	12.418906211853027
1	8	Matrix No	No thief who the detective recognized from the news report will ever be caught red handed.	bert-base-cased	ppl	8.808094024658203
1	8	Relative Didn't	The thief who didn't recognize the detective from the news report will ever be caught red handed.	bert-base-cased	ppl	10.245526313781738
1	8	Relative No	The thief who no detective recognized from the news report will ever be caught red handed.	bert-base-cased	ppl	27.50395393371582
2	8	Relative Did Not	The thief who did not recognize the detective from the news report will ever be caught red handed.	bert-base-cased	ppl	10.976102828979492
3	8	Relative Never	The thief who never recognized the detective from the news report will ever be caught red handed.	bert-base-cased	ppl	14.951324462890625
6	8	Embedded No	The thief who suspected no detective for a while will ever be caught red handed.	bert-base-cased	ppl	28.859054565429688
6	8	Embedded Not a Single	The thief who suspected not a single detective for a while will ever be caught red handed.	bert-base-cased	ppl	19.037490844726562
6	8	Licensor Absent	The thief who the detective suspected for a while will ever be caught red handed.	bert-base-cased	ppl	9.061234474182129
6	8	Matrix No	No thief who the detective suspected for a while will ever be caught red handed.	bert-base-cased	ppl	7.40739631652832
6	8	Relative Subject No	The thief who no detective suspected for a while will ever be caught red handed.	bert-base-cased	ppl	14.879030227661133
6	8	Relative Subject Not A Single	The thief who not a single detective suspected for a while will ever be caught red handed.	bert-base-cased	ppl	10.59074878692627
1	9	Licensor Absent	The lawyer who the criminal noticed approach the bench will ever run for governor.	bert-base-cased	ppl	88.57746124267578
1	9	Matrix No	No lawyer who the criminal noticed approach the bench will ever run for governor.	bert-base-cased	ppl	58.057106018066406
1	9	Relative Didn't	The lawyer who didn't notice the criminal approach the bench will ever run for governor.	bert-base-cased	ppl	41.2135124206543
1	9	Relative No	The lawyer who no criminal noticed approach the bench will ever run for governor.	bert-base-cased	ppl	101.89799499511719
2	9	Relative Did Not	The lawyer who did not notice the criminal approach the bench will ever run for governor.	bert-base-cased	ppl	40.62653350830078
3	9	Relative Never	The lawyer who never noticed the criminal approach the bench will ever run for governor.	bert-base-cased	ppl	48.929664611816406
6	9	Embedded No	The lawyer who noticed no criminal approach the bench will ever run for governor.	bert-base-cased	ppl	57.27082061767578
6	9	Embedded Not a Single	The lawyer who noticed not a single criminal approach the bench will ever run for governor.	bert-base-cased	ppl	43.373104095458984
6	9	Licensor Absent	The lawyer who noticed the criminal approach the bench will ever run for governor.	bert-base-cased	ppl	84.8204116821289
6	9	Matrix No	No lawyer who noticed the criminal approach the bench will ever run for governor.	bert-base-cased	ppl	35.43824768066406
6	9	Relative Subject No	The lawyer who no criminal noticed approach the bench will ever run for governor.	bert-base-cased	ppl	101.89799499511719
6	9	Relative Subject Not A Single	The lawyer who not a single criminal noticed approach the bench will ever run for governor.	bert-base-cased	ppl	82.83086395263672
1	10	Licensor Absent	The protester who the policeman noticed walk by will ever support lower taxes.	bert-base-cased	ppl	133.51170349121094
1	10	Matrix No	No protester who the policeman noticed walk by will ever support lower taxes.	bert-base-cased	ppl	96.62474060058594
1	10	Relative Didn't	The protester who didn't notice the policeman walk by will ever support lower taxes.	bert-base-cased	ppl	28.307453155517578
1	10	Relative No	The protester who no policeman noticed walk by will ever support lower taxes.	bert-base-cased	ppl	213.71824645996094
2	10	Relative Did Not	The protester who did not notice the policeman walk by will ever support lower taxes.	bert-base-cased	ppl	31.688711166381836
3	10	Relative Never	The protester who never noticed the policeman walk by will ever support lower taxes.	bert-base-cased	ppl	49.55119323730469
6	10	Embedded No	The protester who noticed no policeman sneak past will ever support lower taxes.	bert-base-cased	ppl	168.47084045410156
6	10	Embedded Not a Single	The protester who noticed not a single policeman sneak past will ever support lower taxes.	bert-base-cased	ppl	59.39875030517578
6	10	Licensor Absent	The protester who the policeman noticed sneak past will ever support lower taxes.	bert-base-cased	ppl	277.5617370605469
6	10	Matrix No	No protester who the policeman noticed sneak past will ever support lower taxes.	bert-base-cased	ppl	219.612548828125
6	10	Relative Subject No	The protester who no policeman noticed sneak past will ever support lower taxes.	bert-base-cased	ppl	521.4038696289062
6	10	Relative Subject Not A Single	The protester who not a single policeman noticed sneak past will ever support lower taxes.	bert-base-cased	ppl	209.46170043945312
1	11	Licensor Absent	The hostage who the kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	29.040212631225586
1	11	Matrix No	No hostage who the kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	28.828519821166992
1	11	Relative Didn't	The hostage who didn't realize the kidnapper was brave will ever escape without being spotted.	bert-base-cased	ppl	15.819384574890137
1	11	Relative No	The hostage who no kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	77.59198760986328
2	11	Relative Did Not	The hostage who did not realize the kidnapper was brave will ever escape without being spotted.	bert-base-cased	ppl	17.029800415039062
3	11	Relative Never	The hostage who never realized the kidnapper was brave will ever escape without being spotted.	bert-base-cased	ppl	22.398290634155273
6	11	Embedded No	The hostage who realized no kidnapper was brave will ever escape without being spotted.	bert-base-cased	ppl	69.60198211669922
6	11	Embedded Not a Single	The hostage who realized not a single kidnapper was brave will ever escape without being spotted.	bert-base-cased	ppl	35.715850830078125
6	11	Licensor Absent	The hostage who the kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	29.040212631225586
6	11	Matrix No	No hostage who the kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	28.828519821166992
6	11	Relative Subject No	The hostage who no kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	77.59198760986328
6	11	Relative Subject Not A Single	The hostage who not a single kidnapper realized was brave will ever escape without being spotted.	bert-base-cased	ppl	32.010841369628906
1	12	Licensor Absent	The pollster who the politician realized would predict the results will ever be unemployed.	bert-base-cased	ppl	69.15300750732422
1	12	Matrix No	No pollster who the politician realized would predict the results will ever be unemployed.	bert-base-cased	ppl	105.66056823730469
1	12	Relative Didn't	The pollster who didn't realize the politician would predict the results will ever be unemployed.	bert-base-cased	ppl	47.271728515625
1	12	Relative No	The pollster who no politician realized would predict the results will ever be unemployed	bert-base-cased	ppl	269.711181640625
2	12	Relative Did Not	The pollster who did not realize the politician would predict the results will ever be unemployed.	bert-base-cased	ppl	54.75440979003906
3	12	Relative Never	The pollster who never realized the politician would predict the results will ever be unemployed.	bert-base-cased	ppl	69.02711486816406
6	12	Embedded No	The pollster who realized no politician would predict the results will ever be unemployed.	bert-base-cased	ppl	103.59769439697266
6	12	Embedded Not a Single	The pollster who realized not a single politician would predict the results will ever be unemployed.	bert-base-cased	ppl	81.58988952636719
6	12	Licensor Absent	The pollster who realized the politician would predict the results will ever be unemployed.	bert-base-cased	ppl	101.17505645751953
6	12	Matrix No	No pollster who realized no politician would predict the results will ever be unemployed.	bert-base-cased	ppl	101.73145294189453
6	12	Relative Subject No	The pollster who no politician realized would predict the results will ever be unemployed.	bert-base-cased	ppl	122.29448699951172
6	12	Relative Subject Not A Single	The pollster who not a single politician realized would predict the results will ever be unemployed.	bert-base-cased	ppl	88.15044403076172
1	13	Licensor Absent	The actor who the director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	8.460203170776367
1	13	Matrix No	No actor who the director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	4.294916152954102
1	13	Relative Didn't	The actor who didn't predict the director would be famous will ever play a supporting role.	bert-base-cased	ppl	7.525623321533203
1	13	Relative No	The actor who no director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	21.346397399902344
2	13	Relative Did Not	The actor who did not predict the director would be famous will ever play a supporting role.	bert-base-cased	ppl	8.445544242858887
3	13	Relative Never	The actor who never predicted the director would be famous will ever play a supporting role.	bert-base-cased	ppl	12.11781120300293
6	13	Embedded No	The actor who predicted no director would be famous will ever play a supporting role.	bert-base-cased	ppl	16.92970848083496
6	13	Embedded Not a Single	The actor who predicted not a single director would be famous will ever play a supporting role.	bert-base-cased	ppl	19.579599380493164
6	13	Licensor Absent	The actor who the director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	8.460203170776367
6	13	Matrix No	No actor who the director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	4.294916152954102
6	13	Relative Subject No	The actor who no director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	21.346397399902344
6	13	Relative Subject Not A Single	The actor who not a single director predicted would be famous will ever play a supporting role.	bert-base-cased	ppl	11.463030815124512
1	14	Licensor Absent	The rancher who the neighbor predicted would have a good harvest will ever be hungry again.	bert-base-cased	ppl	23.181041717529297
1	14	Matrix No	No rancher who the neighbor predicted would have a good harvest will ever be hungry again.	bert-base-cased	ppl	15.946885108947754
1	14	Relative Didn't	The rancher who didn't predict the neighbor would have a good harvest will ever be hungry again.	bert-base-cased	ppl	17.212114334106445
1	14	Relative No	The rancher who no neighbor predicted would have a good harvest will ever be hungry again.	bert-base-cased	ppl	38.76870346069336
2	14	Relative Did Not	The rancher who did not predict the neighbor will wrangle the bull will ever be hungry again.	bert-base-cased	ppl	45.95234680175781
3	14	Relative Never	The rancher who never predicted the neighbor will wrangle the bull will ever be hungry again.	bert-base-cased	ppl	78.73108673095703
6	14	Embedded No	The rancher who predicted no cowboy would wrangle the bull will ever be hungry again.	bert-base-cased	ppl	40.14610290527344
6	14	Embedded Not a Single	The rancher who predicted not a single cowboy would wrangle the bull will ever be hungry again.	bert-base-cased	ppl	35.11384963989258
6	14	Licensor Absent	The rancher who the cowboy predicted would wrangle the bull will ever be hungry again.	bert-base-cased	ppl	40.043331146240234
6	14	Matrix No	No rancher who the cowboy predicted would wrangle the bull will ever be hungry again.	bert-base-cased	ppl	37.25625991821289
6	14	Relative Subject No	The rancher who no cowboy predicted would wrangle the bull will ever be hungry again.	bert-base-cased	ppl	87.8108901977539
6	14	Relative Subject Not A Single	The rancher who not a single cowboy predicted would wrangle the bull will ever be hungry again.	bert-base-cased	ppl	44.84543991088867
1	15	Licensor Absent	The lender who the banker recommended for asset management will ever raise interest rates.	bert-base-cased	ppl	44.28636169433594
1	15	Matrix No	No lender who the banker recommended for asset management will ever raise interest rates.	bert-base-cased	ppl	24.265182495117188
1	15	Relative Didn't	The lender who didn't recommend the banker for asset management will ever raise interest rates.	bert-base-cased	ppl	24.334365844726562
1	15	Relative No	The lender who no banker recommended for asset management will ever raise interest rates.	bert-base-cased	ppl	105.56394958496094
2	15	Relative Did Not	The lender who did not recommend the banker for asset management will ever raise interest rates.	bert-base-cased	ppl	33.75283432006836
3	15	Relative Never	The lender who never recommended the banker for asset management will ever raise interest rates.	bert-base-cased	ppl	47.525474548339844
6	15	Embedded No	The lender who recommended no banker for asset management will ever raise interest rates.	bert-base-cased	ppl	110.54630279541016
6	15	Embedded Not a Single	The lender who recommended not a single banker for asset management will ever raise interest rates.	bert-base-cased	ppl	76.88091278076172
6	15	Licensor Absent	The lender who the banker recommended for asset management will ever raise interest rates.	bert-base-cased	ppl	44.28636169433594
6	15	Matrix No	No lender who the banker recommended for asset management will ever raise interest rates.	bert-base-cased	ppl	24.265182495117188
6	15	Relative Subject No	The lender who no banker recommended for asset management will ever raise interest rates.	bert-base-cased	ppl	105.56394958496094
6	15	Relative Subject Not A Single	The lender who not a single banker recommended for asset management will ever raise interest rates	bert-base-cased	ppl	224.60621643066406
1	16	Licensor Absent	The agent who the tourist asked for travel preference will ever suggest a boring trip.	bert-base-cased	ppl	96.57518768310547
1	16	Matrix No	No agent who the tourist asked for travel preference will ever suggest a boring trip.	bert-base-cased	ppl	71.6325912475586
1	16	Relative Didn't	The agent who didn't ask the tourist for travel preference will ever suggest a boring trip.	bert-base-cased	ppl	53.597007751464844
1	16	Relative No	The agent who no tourist asked for travel preference will ever suggest a boring trip.	bert-base-cased	ppl	319.9325256347656
2	16	Relative Did Not	The agent who did not ask the tourist for travel preference will ever suggest a boring trip.	bert-base-cased	ppl	56.9599609375
3	16	Relative Never	The agent who never asked the tourist for travel preference will ever suggest a boring trip.	bert-base-cased	ppl	87.93431854248047
6	16	Embedded No	The agent who recommended no concierge for day planning will ever suggest a boring trip.	bert-base-cased	ppl	125.90122985839844
6	16	Embedded Not a Single	The agent who recommended not a single concierge for day planning will ever suggest a boring trip.	bert-base-cased	ppl	61.497535705566406
6	16	Licensor Absent	The agent who the concierge recommended for day planning will ever suggest a boring trip.	bert-base-cased	ppl	134.70751953125
6	16	Matrix No	No agent who the concierge recommended for day planning will ever suggest a boring trip.	bert-base-cased	ppl	75.72171783447266
6	16	Relative Subject No	The agent who no concierge recommended for day planning will ever suggest a boring trip.	bert-base-cased	ppl	222.14599609375
6	16	Relative Subject Not A Single	The agent who not a single concierge recommended for day planning will ever suggest a boring trip.	bert-base-cased	ppl	128.6575927734375
1	17	Licensor Absent	The painter who the sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	43.321685791015625
1	17	Matrix No	No painter who the sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	26.432226181030273
1	17	Relative Didn't	The painter who didn't say the sculptor had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	30.08651351928711
1	17	Relative No	The painter who no sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	118.78485870361328
2	17	Relative Did Not	The painter who did not say the sculptor had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	29.983610153198242
3	17	Relative Never	The painter who never said the sculptor had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	45.60734176635742
6	17	Embedded No	The painter who said no sculptor had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	72.27690124511719
6	17	Embedded Not a Single	The painter who said not a single sculptor had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	50.71940231323242
6	17	Licensor Absent	The painter who the sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	43.321685791015625
6	17	Matrix No	No painter who the sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	26.432226181030273
6	17	Relative Subject No	The painter who no sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	118.78485870361328
6	17	Relative Subject Not A Single	The painter who not a single sculptor said had a good eye will ever paint an impressionist sunset.	bert-base-cased	ppl	64.01148986816406
1	18	Licensor Absent	The bully who the student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	20.553998947143555
1	18	Matrix No	No bully who the student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	14.279115676879883
1	18	Relative Didn't	The bully who didn't say the student was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	13.924065589904785
1	18	Relative No	The bully who no student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	33.496665954589844
2	18	Relative Did Not	The bully who did not say the student was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	14.34714126586914
3	18	Relative Never	The bully who never said the student was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	18.92762565612793
6	18	Embedded No	The bully who said no student was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	18.064960479736328
6	18	Embedded Not a Single	The bully who said not a single student was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	12.868690490722656
6	18	Licensor Absent	The bully who the student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	20.553998947143555
6	18	Matrix No	No bully who the student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	14.279115676879883
6	18	Relative Subject No	The bully who no student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	33.496665954589844
6	18	Relative Subject Not A Single	The bully who not a single student said was mean will ever get a scholarship to Northwestern.	bert-base-cased	ppl	19.327045440673828
1	19	Licensor Absent	The patient who the trainer treated to dinner will ever give up on recovery.	bert-base-cased	ppl	80.54694366455078
1	19	Matrix No	No patient who the trainer treated to dinner will ever give up on recovery.	bert-base-cased	ppl	53.69800567626953
1	19	Relative Didn't	The patient who didn't treat the trainer to dinner will ever give up on recovery.	bert-base-cased	ppl	30.58829689025879
1	19	Relative No	The patient who no trainer treated to dinner will ever give up on recovery.	bert-base-cased	ppl	134.4623260498047
2	19	Relative Did Not	The patient who did not treat the trainer to dinner will ever give up on recovery.	bert-base-cased	ppl	31.858366012573242
3	19	Relative Never	The patient who never treated the trainer to dinner will ever give up on recovery.	bert-base-cased	ppl	57.26652145385742
6	19	Embedded No	The patient who treated no trainer unkindly will ever give up on recovery.	bert-base-cased	ppl	111.04176330566406
6	19	Embedded Not a Single	The patient who treated not a single trainer unkindly will ever give up on recovery.	bert-base-cased	ppl	60.20684814453125
6	19	Licensor Absent	The patient who the trainer treated unkindly will ever give up on recovery.	bert-base-cased	ppl	40.37407302856445
6	19	Matrix No	No patient who the trainer treated unkindly will ever give up on recovery.	bert-base-cased	ppl	31.90655517578125
6	19	Relative Subject No	The patient who no trainer treated unkindly will ever give up on recovery.	bert-base-cased	ppl	64.66559600830078
6	19	Relative Subject Not A Single	The patient who not a single trainer treated unkindly will ever give up on recovery.	bert-base-cased	ppl	55.6154670715332
1	20	Licensor Absent	The victim who the doctor treated unkindly will ever drive again.	bert-base-cased	ppl	68.63211822509766
1	20	Matrix No	No victim who the doctor treated unkindly will ever drive again.	bert-base-cased	ppl	46.88112258911133
1	20	Relative Didn't	The victim who didn't treat the doctor unkindly will ever drive again.	bert-base-cased	ppl	24.011430740356445
1	20	Relative No	The victim who no doctor treated unkindly will ever drive again.	bert-base-cased	ppl	174.40252685546875
2	20	Relative Did Not	The victim who did not treat the doctor unkindly will ever drive again.	bert-base-cased	ppl	25.980649948120117
